i	j	x	r	mach	theta	press	temp	Massflow
0	86	0.233409	1.02762	1.56762	13.4979	3.78896	826.551	0.559472
1	86	0.235506	1.02659	1.56811	13.5013	3.78619	826.415	0.558071
2	86	0.239845	1.02447	1.56916	13.5075	3.7803	826.126	0.555179
3	86	0.244259	1.02231	1.57025	13.5129	3.77414	825.823	0.55225
4	86	0.248746	1.02012	1.57139	13.5175	3.76773	825.508	0.549283
5	86	0.253308	1.01789	1.57258	13.5214	3.76106	825.179	0.546279
6	86	0.257943	1.01564	1.57381	13.5244	3.75414	824.838	0.543239
7	86	0.262653	1.01335	1.57509	13.5267	3.74697	824.483	0.540163
8	86	0.267438	1.01103	1.57642	13.5282	3.73956	824.116	0.537052
9	86	0.272296	1.00868	1.57779	13.529	3.7319	823.736	0.533907
10	86	0.277229	1.0063	1.5792	13.529	3.724	823.344	0.530729
11	86	0.282235	1.00388	1.58066	13.5284	3.71587	822.94	0.527518
12	86	0.287316	1.00144	1.58217	13.527	3.70751	822.523	0.524275
13	86	0.29247	0.998965	1.58372	13.525	3.69892	822.095	0.521
14	86	0.297698	0.996459	1.58531	13.5223	3.69012	821.654	0.517696
15	86	0.302998	0.993924	1.58694	13.5189	3.68109	821.202	0.514362
16	86	0.308372	0.991358	1.58861	13.515	3.67186	820.738	0.511
17	86	0.313819	0.988763	1.59033	13.5104	3.66242	820.264	0.507609
18	86	0.319337	0.98614	1.59208	13.5052	3.65278	819.778	0.504193
19	86	0.324928	0.983487	1.59388	13.4994	3.64294	819.281	0.50075
20	86	0.33059	0.980806	1.59571	13.4931	3.63292	818.773	0.497282
21	86	0.336324	0.978097	1.59759	13.4863	3.6227	818.255	0.493791
22	86	0.342128	0.975361	1.5995	13.4789	3.61231	817.727	0.490276
23	86	0.348003	0.972597	1.60144	13.471	3.60174	817.189	0.486739
24	86	0.353948	0.969807	1.60342	13.4626	3.591	816.64	0.483181
25	86	0.359962	0.96699	1.60544	13.4538	3.5801	816.082	0.479603
26	86	0.366045	0.964147	1.60749	13.4445	3.56904	815.515	0.476006
27	86	0.372196	0.961278	1.60958	13.4348	3.55782	814.938	0.472391
28	86	0.378416	0.958385	1.6117	13.4247	3.54645	814.352	0.468758
29	86	0.384703	0.955466	1.61385	13.4141	3.53494	813.757	0.465108
30	86	0.391057	0.952523	1.61604	13.4032	3.52328	813.153	0.461444
31	86	0.397478	0.949557	1.61825	13.3919	3.51149	812.54	0.457765
32	86	0.403965	0.946566	1.6205	13.3803	3.49957	811.919	0.454072
33	86	0.410517	0.943553	1.62278	13.3683	3.48752	811.29	0.450366
34	86	0.417134	0.940517	1.62509	13.3559	3.47535	810.652	0.446649
35	86	0.423816	0.937458	1.62742	13.3432	3.46305	810.007	0.442921
36	86	0.430562	0.934378	1.62979	13.3303	3.45064	809.353	0.439183
37	86	0.437371	0.931276	1.63218	13.317	3.43812	808.692	0.435436
38	86	0.444243	0.928153	1.63461	13.3034	3.42548	808.023	0.43168
39	86	0.451177	0.925009	1.63706	13.2895	3.41274	807.346	0.427918
40	86	0.458173	0.921845	1.63954	13.2753	3.39989	806.662	0.424148
41	86	0.465231	0.918661	1.64204	13.2609	3.38695	805.97	0.420373
42	86	0.472349	0.915457	1.64458	13.2462	3.3739	805.272	0.416593
43	86	0.479528	0.912234	1.64714	13.2312	3.36076	804.565	0.412809
44	86	0.486767	0.908993	1.64972	13.2159	3.34752	803.852	0.409022
45	86	0.494066	0.905732	1.65234	13.2003	3.3342	803.131	0.405232
46	86	0.501423	0.902454	1.65498	13.1845	3.32078	802.403	0.401441
47	86	0.508839	0.899158	1.65764	13.1684	3.30727	801.669	0.397648
48	86	0.516314	0.895844	1.66034	13.1521	3.29367	800.926	0.393855
49	86	0.523846	0.892514	1.66306	13.1354	3.27999	800.177	0.390062
50	86	0.531436	0.889166	1.6658	13.1185	3.26622	799.421	0.386271
51	86	0.539082	0.885802	1.66858	13.1012	3.25237	798.657	0.382481
52	86	0.546785	0.882422	1.67137	13.0837	3.23843	797.887	0.378693
53	86	0.554545	0.879026	1.6742	13.0659	3.22441	797.109	0.374909
54	86	0.56236	0.875614	1.67705	13.0477	3.21031	796.324	0.371128
55	86	0.570231	0.872187	1.67994	13.0293	3.19612	795.531	0.367352
56	86	0.578157	0.868745	1.68284	13.0105	3.18185	794.732	0.363581
57	86	0.586138	0.865288	1.68578	12.9913	3.1675	793.924	0.359815
58	86	0.594174	0.861816	1.68874	12.9718	3.15307	793.11	0.356055
59	86	0.602264	0.85833	1.69174	12.9519	3.13855	792.287	0.352302
60	86	0.610408	0.85483	1.69476	12.9317	3.12395	791.457	0.348556
61	86	0.618605	0.851316	1.69781	12.911	3.10927	790.62	0.344818
62	86	0.626857	0.847789	1.70089	12.8899	3.0945	789.774	0.341089
63	86	0.635035	0.844302	1.70378	12.8743	3.08069	788.98	0.337424
64	86	0.642707	0.841039	1.70584	12.8815	3.07093	788.418	0.334013
65	86	0.650331	0.837806	1.70789	12.8881	3.06117	787.853	0.330647
66	86	0.657959	0.834581	1.70998	12.894	3.05128	787.28	0.327304
67	86	0.665621	0.831349	1.71212	12.8988	3.04118	786.694	0.323969
68	86	0.673308	0.828116	1.71428	12.9034	3.03102	786.103	0.320648
69	86	0.681019	0.824882	1.71645	12.9081	3.02084	785.508	0.317341
70	86	0.688814	0.821622	1.71871	12.9107	3.01025	784.888	0.314022
71	86	0.696649	0.818354	1.72101	12.913	2.99955	784.26	0.310711
72	86	0.702128	0.816074	1.72268	12.9122	2.99174	783.8	0.308411
73	86	0.707757	0.813736	1.7245	12.9088	2.98333	783.305	0.306061
74	86	0.715726	0.810435	1.72684	12.9111	2.97248	782.663	0.302756
75	86	0.721373	0.808101	1.72866	12.9077	2.96408	782.165	0.30043
76	86	0.727075	0.805749	1.73051	12.904	2.95557	781.66	0.298094
77	86	0.73278	0.8034	1.73233	12.9012	2.94718	781.161	0.29577
78	86	0.740916	0.800059	1.73486	12.8996	2.93559	780.469	0.292479
79	86	0.746601	0.79773	1.73668	12.8969	2.92727	779.971	0.290196
80	86	0.752419	0.79535	1.73865	12.8909	2.9183	779.434	0.287872
81	86	0.758176	0.793001	1.74051	12.8878	2.90985	778.925	0.285587
82	86	0.764034	0.790615	1.7425	12.8817	2.90084	778.383	0.283275
83	86	0.769845	0.788253	1.74441	12.8775	2.89218	777.86	0.280996
84	86	0.778032	0.784934	1.747	12.8752	2.8805	777.152	0.277807
85	86	0.783867	0.782573	1.74899	12.869	2.87156	776.609	0.27555
86	86	0.789683	0.780225	1.75093	12.8646	2.86289	776.082	0.273314
87	86	0.795645	0.777823	1.75304	12.8559	2.85345	775.506	0.271036
88	86	0.801434	0.775496	1.75491	12.8535	2.84512	774.996	0.268837
89	86	0.807393	0.773104	1.757	12.8455	2.83581	774.425	0.266588
90	86	0.813298	0.770739	1.75902	12.8395	2.82685	773.875	0.264373
91	86	0.819189	0.768385	1.76102	12.834	2.81801	773.33	0.262177
92	86	0.825209	0.765983	1.76319	12.8244	2.80843	772.738	0.259946
93	86	0.831042	0.763661	1.76512	12.821	2.79998	772.214	0.257798
94	86	0.837005	0.761292	1.76721	12.8134	2.79078	771.644	0.255616
95	86	0.84303	0.758903	1.76939	12.8038	2.78125	771.05	0.253425
96	86	0.848875	0.75659	1.77134	12.8001	2.77278	770.522	0.251313
97	86	0.854874	0.754221	1.77348	12.7915	2.76345	769.938	0.249158
98	86	0.8609	0.751845	1.77567	12.7819	2.75397	769.344	0.247008
99	86	0.866768	0.749537	1.77764	12.7777	2.74543	768.807	0.244927
