i	X	R	MACH	THETA	massflow
0	0	1	1.17873	0	0.553029
1	1.28309e-05	0.999979	1.17874	0.00143401	0.553006
2	5.13262e-05	0.999918	1.17879	0.00573428	0.552938
3	0.000115502	0.999815	1.17886	0.0128965	0.552823
4	0.000205386	0.999671	1.17897	0.0229141	0.552663
5	0.000321024	0.999486	1.1791	0.0357782	0.552458
6	0.000462471	0.99926	1.17927	0.0514773	0.552206
7	0.000629799	0.998993	1.17947	0.069998	0.55191
8	0.000823091	0.998685	1.17969	0.0913243	0.551567
9	0.00104245	0.998335	1.17995	0.115438	0.551179
10	0.00128798	0.997945	1.18024	0.142319	0.550746
11	0.00155981	0.997514	1.18056	0.171943	0.550267
12	0.00185808	0.997042	1.18091	0.204287	0.549743
13	0.00218295	0.996528	1.18129	0.239322	0.549173
14	0.00253458	0.995974	1.18171	0.277019	0.548558
15	0.00291314	0.99538	1.18215	0.317346	0.547898
16	0.00331884	0.994744	1.18263	0.360269	0.547193
17	0.00375188	0.994067	1.18314	0.405753	0.546443
18	0.00421248	0.99335	1.18368	0.453758	0.545648
19	0.00470087	0.992593	1.18426	0.504243	0.544809
20	0.0052173	0.991794	1.18487	0.557167	0.543924
21	0.00576204	0.990955	1.18551	0.612485	0.542996
22	0.00633534	0.990076	1.18619	0.670149	0.542022
23	0.00693751	0.989156	1.1869	0.730112	0.541004
24	0.00756883	0.988195	1.18764	0.792321	0.539942
25	0.00822962	0.987195	1.18842	0.856724	0.538836
26	0.0089202	0.986154	1.18924	0.923267	0.537687
27	0.0096409	0.985073	1.19009	0.991893	0.536493
28	0.0103921	0.983952	1.19097	1.06254	0.535256
29	0.0111741	0.982791	1.19189	1.13516	0.533975
30	0.0119873	0.981589	1.19285	1.20967	0.532651
31	0.0128321	0.980349	1.19385	1.28603	0.531284
32	0.0137089	0.979068	1.19488	1.36416	0.529873
33	0.0146181	0.977747	1.19595	1.44399	0.528421
34	0.0155601	0.976387	1.19706	1.52546	0.526925
35	0.0165353	0.974988	1.1982	1.6085	0.525387
36	0.0175442	0.973549	1.19938	1.69304	0.523807
37	0.0185872	0.972071	1.20061	1.779	0.522186
38	0.0196648	0.970553	1.20187	1.86631	0.520522
39	0.0207774	0.968997	1.20316	1.9549	0.518817
40	0.0219256	0.967401	1.2045	2.04468	0.51707
41	0.0231097	0.965767	1.20588	2.13559	0.515283
42	0.0243303	0.964094	1.2073	2.22754	0.513455
43	0.025588	0.962382	1.20875	2.32046	0.511586
44	0.0268831	0.960631	1.21025	2.41426	0.509677
45	0.0282162	0.958842	1.21178	2.50887	0.507729
46	0.0295879	0.957015	1.21336	2.6042	0.50574
47	0.0309986	0.95515	1.21497	2.70017	0.503712
48	0.0324489	0.953247	1.21663	2.7967	0.501645
49	0.0339394	0.951306	1.21832	2.89371	0.499539
50	0.0354705	0.949327	1.22005	2.99112	0.497395
51	0.0370428	0.94731	1.22183	3.08885	0.495212
52	0.0386569	0.945256	1.22364	3.1868	0.492992
53	0.0403133	0.943164	1.22549	3.28491	0.490734
54	0.0420125	0.941036	1.22738	3.38309	0.488439
55	0.0437551	0.93887	1.22931	3.48125	0.486107
56	0.0455417	0.936667	1.23128	3.57932	0.483739
57	0.0473728	0.934428	1.23328	3.67722	0.481334
58	0.0492489	0.932152	1.23532	3.77486	0.478894
59	0.0511706	0.929839	1.2374	3.87217	0.476419
60	0.0531385	0.927491	1.23952	3.96908	0.473909
61	0.055153	0.925106	1.24167	4.06549	0.471364
62	0.0572148	0.922685	1.24386	4.16135	0.468785
63	0.0593243	0.920228	1.24608	4.25657	0.466173
64	0.0614821	0.917736	1.24834	4.35109	0.463527
65	0.0636887	0.915208	1.25063	4.44483	0.460849
66	0.0659446	0.912645	1.25296	4.53772	0.458139
67	0.0682503	0.910047	1.25531	4.62969	0.455396
68	0.0706063	0.907414	1.2577	4.72068	0.452623
69	0.0730131	0.904746	1.26012	4.81063	0.449819
70	0.0754712	0.902044	1.26257	4.89947	0.446984
71	0.0779809	0.899307	1.26505	4.98714	0.444119
72	0.0805429	0.896536	1.26755	5.07358	0.441226
73	0.0831574	0.893731	1.27009	5.15874	0.438303
74	0.0858249	0.890893	1.27265	5.24257	0.435352
75	0.0885459	0.888021	1.27523	5.32502	0.432374
76	0.0913207	0.885115	1.27784	5.40603	0.429369
77	0.0941497	0.882176	1.28047	5.48556	0.426337
78	0.0970332	0.879204	1.28313	5.56357	0.423279
79	0.0999716	0.8762	1.2858	5.64001	0.420196
80	0.102965	0.873163	1.2885	5.71486	0.417088
81	0.106014	0.870093	1.29121	5.78806	0.413956
82	0.109119	0.866992	1.29394	5.85959	0.4108
83	0.11228	0.863858	1.29669	5.92943	0.407622
84	0.115498	0.860693	1.29946	5.99753	0.404422
85	0.118772	0.857497	1.30223	6.06389	0.401199
86	0.122102	0.854269	1.30502	6.12847	0.397956
87	0.12549	0.85101	1.30783	6.19125	0.394693
88	0.128934	0.84772	1.31064	6.25222	0.39141
89	0.132436	0.8444	1.31347	6.31137	0.388108
90	0.135995	0.841049	1.3163	6.36868	0.384788
91	0.139612	0.837668	1.31914	6.42414	0.381451
92	0.143286	0.834258	1.32198	6.47776	0.378096
93	0.147018	0.830818	1.32484	6.52951	0.374726
94	0.150807	0.827348	1.32769	6.57941	0.37134
95	0.154653	0.823849	1.33055	6.62745	0.367939
96	0.158558	0.820322	1.33341	6.67364	0.364524
97	0.162519	0.816765	1.33627	6.71799	0.361096
98	0.166538	0.813181	1.33914	6.76049	0.357656
99	0.170615	0.809568	1.342	6.80116	0.354203
100	0.174748	0.805927	1.34486	6.84001	0.35074
101	0.178939	0.802259	1.34772	6.87706	0.347266
102	0.183187	0.798564	1.35057	6.91232	0.343782
103	0.187491	0.794841	1.35343	6.9458	0.34029
104	0.191852	0.791091	1.35627	6.97753	0.336789
105	0.196269	0.787315	1.35911	7.00753	0.333281
106	0.200743	0.783513	1.36195	7.03582	0.329766
107	0.205272	0.779684	1.36478	7.06242	0.326245
108	0.209856	0.77583	1.3676	7.08736	0.322719
109	0.214496	0.771951	1.37042	7.11065	0.319188
110	0.219191	0.768046	1.37323	7.13234	0.315654
111	0.223941	0.764116	1.37603	7.15244	0.312116
112	0.228745	0.760162	1.37882	7.17098	0.308576
113	0.233602	0.756183	1.3816	7.188	0.305035
114	0.238514	0.75218	1.38437	7.20351	0.301493
115	0.243478	0.748153	1.38714	7.21756	0.29795
116	0.248495	0.744103	1.38989	7.23018	0.294408
117	0.253565	0.74003	1.39264	7.24138	0.290867
118	0.258687	0.735933	1.39538	7.25121	0.287328
119	0.26386	0.731815	1.39811	7.2597	0.283792
120	0.269084	0.727673	1.40083	7.26687	0.280259
121	0.274359	0.72351	1.40354	7.27276	0.276731
122	0.279684	0.719325	1.40625	7.27739	0.273206
123	0.285058	0.715119	1.40894	7.28081	0.269688
124	0.290482	0.710891	1.41163	7.28303	0.266175
125	0.295955	0.706643	1.41432	7.28409	0.262669
126	0.301476	0.702374	1.41699	7.28402	0.259171
127	0.307044	0.698085	1.41966	7.28284	0.25568
128	0.31266	0.693776	1.42233	7.28059	0.252198
129	0.318323	0.689448	1.42499	7.27729	0.248726
130	0.324032	0.6851	1.42764	7.27297	0.245263
131	0.329787	0.680733	1.4303	7.26766	0.241811
132	0.335587	0.676348	1.43295	7.26138	0.238371
133	0.341432	0.671944	1.4356	7.25415	0.234942
134	0.347321	0.667523	1.43825	7.246	0.231526
135	0.353254	0.663084	1.4409	7.23695	0.228122
136	0.359231	0.658627	1.44355	7.22702	0.224733
137	0.36525	0.654154	1.4462	7.21624	0.221357
138	0.371311	0.649663	1.44886	7.20462	0.217996
139	0.377415	0.645157	1.45152	7.19218	0.214651
140	0.383559	0.640634	1.45419	7.17894	0.211322
141	0.389745	0.636096	1.45686	7.16492	0.208009
142	0.39597	0.631543	1.45954	7.15013	0.204713
143	0.402236	0.626974	1.46223	7.13459	0.201435
144	0.408541	0.622391	1.46493	7.11831	0.198175
145	0.414885	0.617793	1.46764	7.10131	0.194933
146	0.421267	0.613182	1.47036	7.08359	0.191711
147	0.427688	0.608557	1.4731	7.06517	0.188508
148	0.434145	0.603919	1.47585	7.04606	0.185326
149	0.44064	0.599267	1.47861	7.02626	0.182164
150	0.447171	0.594604	1.4814	7.00579	0.179024
151	0.453739	0.589927	1.4842	6.98465	0.175905
152	0.460342	0.58524	1.48702	6.96286	0.172808
153	0.46698	0.58054	1.48986	6.94041	0.169734
154	0.473653	0.575829	1.49272	6.91731	0.166682
155	0.48036	0.571108	1.49561	6.89356	0.163655
156	0.487101	0.566376	1.49852	6.86918	0.160651
157	0.490488	0.561634	1.49754	6.79542	0.157887
158	0.493869	0.556883	1.49658	6.72208	0.155142
159	0.500616	0.552122	1.49952	6.69626	0.152209
160	0.504006	0.547352	1.49864	6.62334	0.149507
161	0.507389	0.542573	1.4978	6.55082	0.146824
162	0.510765	0.537786	1.49699	6.47872	0.144161
163	0.517503	0.532991	1.49997	6.45116	0.141327
164	0.520887	0.528189	1.49925	6.37947	0.13871
165	0.524264	0.523379	1.49856	6.30817	0.136114
166	0.527633	0.518563	1.49791	6.23727	0.133539
167	0.530996	0.513741	1.4973	6.16676	0.130986
168	0.534351	0.508912	1.49674	6.09665	0.128455
169	0.541048	0.504078	1.49981	6.0668	0.125776
170	0.544409	0.499238	1.49933	5.99707	0.123294
171	0.547763	0.494394	1.4989	5.92772	0.120835
172	0.55111	0.489545	1.4985	5.85875	0.118399
173	0.55445	0.484692	1.49816	5.79015	0.115986
174	0.557782	0.479835	1.49785	5.72192	0.113597
175	0.561107	0.474975	1.49759	5.65405	0.111233
176	0.564424	0.470112	1.49737	5.58656	0.108892
177	0.567734	0.465246	1.4972	5.51942	0.106576
178	0.571037	0.460379	1.49707	5.45264	0.104284
179	0.574333	0.455509	1.49699	5.38622	0.102018
180	0.577621	0.450638	1.49695	5.32016	0.0997765
181	0.580901	0.445766	1.49696	5.25444	0.0975606
182	0.584174	0.440894	1.49701	5.18908	0.0953701
183	0.58744	0.436021	1.4971	5.12406	0.0932054
184	0.590698	0.431149	1.49724	5.05939	0.0910666
185	0.593949	0.426277	1.49743	4.99506	0.0889538
186	0.597192	0.421406	1.49766	4.93107	0.0868673
187	0.600428	0.416537	1.49793	4.86742	0.0848072
188	0.603656	0.41167	1.49825	4.80411	0.0827736
189	0.606877	0.406804	1.49861	4.74114	0.0807667
190	0.610089	0.401942	1.49901	4.6785	0.0787866
191	0.613294	0.397082	1.49946	4.6162	0.0768334
192	0.616492	0.392226	1.49995	4.55424	0.0749072
193	0.618086	0.387374	1.49894	4.47986	0.0730542
194	0.621261	0.382526	1.49951	4.41872	0.0711809
195	0.622844	0.377683	1.4986	4.3457	0.0693782
196	0.625995	0.372845	1.49925	4.2854	0.0675582
197	0.629138	0.368013	1.49994	4.22542	0.0657657
198	0.630705	0.363186	1.49918	4.15431	0.06404
199	0.633825	0.358367	1.49995	4.09515	0.0623011
200	0.635381	0.353553	1.49928	4.02535	0.0606267
201	0.63693	0.348748	1.49866	3.95627	0.0589774
202	0.640011	0.343949	1.49953	3.89842	0.0573189
203	0.641548	0.339159	1.499	3.83063	0.0557212
204	0.644607	0.334378	1.49995	3.77359	0.0541167
205	0.646132	0.329605	1.4995	3.70706	0.0525709
206	0.647649	0.324842	1.4991	3.64123	0.0510504
207	0.649159	0.320089	1.49874	3.57611	0.0495552
208	0.652164	0.315346	1.49981	3.52082	0.0480578
209	0.653663	0.310614	1.49953	3.45692	0.0466146
210	0.655153	0.305893	1.49929	3.39371	0.0451968
211	0.656636	0.301184	1.49908	3.33117	0.0438044
212	0.658112	0.296487	1.49891	3.2693	0.0424373
213	0.65958	0.291802	1.49878	3.20809	0.0410956
