i	j	x	r	mach	theta	press	temp	massflow
300	0	0.702071	0	1.5	0	4.18645	845.298	0
300	1	0.733061	0	1.50187	0	4.17506	844.78	0
299	2	0.731671	0	1.50155	0	4.17697	844.867	0
298	3	0.730565	0	1.50118	0	4.17927	844.972	0
297	4	0.729747	0	1.50074	0	4.18191	845.092	0
296	5	0.729223	0	1.50026	0	4.18487	845.226	0
295	6	0.728999	0	1.49973	0	4.1881	845.373	0
295	7	0.729083	0	1.49944	0	4.18985	845.452	0
295	8	0.729478	0	1.49922	0	4.19122	845.514	0
295	9	0.730185	0	1.49903	0	4.1924	845.567	0
295	10	0.731207	0	1.49885	0	4.19346	845.615	0
295	11	0.732549	0	1.49869	0	4.19443	845.66	0
295	12	0.734215	0	1.49854	0	4.19534	845.701	0
295	13	0.736214	0	1.4984	0	4.1962	845.74	0
295	14	0.738548	0	1.49827	0	4.19703	845.777	0
295	15	0.741225	0	1.49814	0	4.19781	845.813	0
295	16	0.744256	0	1.49802	0	4.19857	845.847	0
295	17	0.747641	0	1.4979	0	4.1993	845.88	0
295	18	0.75139	0	1.49778	0	4.20001	845.912	0
295	19	0.755506	0	1.49767	0	4.2007	845.943	0
295	20	0.760001	0	1.49756	0	4.20137	845.974	0
295	21	0.764885	0	1.49745	0	4.20202	846.003	0
295	22	0.770166	0	1.49735	0	4.20266	846.032	0
295	23	0.775856	0	1.49725	0	4.20329	846.061	0
295	24	0.781965	0	1.49715	0	4.2039	846.088	0
295	25	0.788489	0	1.49705	0	4.2045	846.116	0
295	26	0.795443	0	1.49695	0	4.20509	846.142	0
295	27	0.802828	0	1.49686	0	4.20567	846.169	0
295	28	0.810649	0	1.49676	0	4.20625	846.195	0
295	29	0.818913	0	1.49667	0	4.20681	846.22	0
295	30	0.827625	0	1.49658	0	4.20737	846.245	0
295	31	0.836792	0	1.49649	0	4.20791	846.27	0
295	32	0.84642	0	1.4964	0	4.20846	846.295	0
295	33	0.856514	0	1.49632	0	4.20899	846.319	0
295	34	0.867084	0	1.49623	0	4.20952	846.342	0
295	35	0.878136	0	1.49615	0	4.21004	846.366	0
295	36	0.88968	0	1.49606	0	4.21055	846.389	0
295	37	0.901721	0	1.49598	0	4.21106	846.412	0
295	38	0.914266	0	1.4959	0	4.21157	846.435	0
295	39	0.927323	0	1.49582	0	4.21207	846.458	0
295	40	0.940898	0	1.49574	0	4.21256	846.48	0
295	41	0.954989	0	1.49566	0	4.21305	846.502	0
295	42	0.969586	0	1.49558	0	4.21353	846.524	0
295	43	0.984656	0	1.4955	0	4.21401	846.546	0
295	44	1.00033	0	1.49542	0	4.21449	846.567	0
295	45	1.01683	0	1.49534	0	4.21496	846.588	0
295	46	1.0371	0	1.55209	0	3.87754	830.857	0
295	47	1.05817	0	1.57027	0	3.77402	825.818	0
295	48	1.07993	0	1.60634	0	3.57525	815.834	0
295	49	1.10213	0	1.62124	0	3.49564	811.714	0
295	50	1.12512	0	1.65045	0	3.3438	803.65	0
295	51	1.14871	0	1.66683	0	3.2611	799.139	0
295	52	1.17315	0	1.69302	0	3.13234	791.935	0
295	53	1.19831	0	1.7112	0	3.04551	786.945	0
295	54	1.2244	0	1.73608	0	2.93003	780.137	0
295	55	1.25133	0	1.75599	0	2.84031	774.701	0
295	56	1.27925	0	1.78052	0	2.73302	768.024	0
295	57	1.30814	0	1.80207	0	2.6417	762.179	0
295	58	1.33813	0	1.82691	0	2.53978	755.467	0
295	59	1.3692	0	1.85006	0	2.44788	749.234	0
295	60	1.40149	0	1.87565	0	2.34977	742.375	0
295	61	1.43501	0	1.90044	0	2.25809	735.764	0
295	62	1.46987	0	1.92712	0	2.16299	728.68	0
295	63	1.50613	0	1.95361	0	2.0722	721.69	0
295	64	1.5439	0	1.98168	0	1.97976	714.324	0
295	65	1.58324	0	2.00997	0	1.89043	706.948	0
295	66	1.62428	0	2.03968	0	1.80063	699.255	0
295	67	1.66712	0	2.06992	0	1.71328	691.482	0
295	68	1.71188	0	2.10151	0	1.62628	683.428	0
295	69	1.75869	0	2.13389	0	1.54142	675.244	0
295	70	1.8077	0	2.1676	0	1.4575	666.799	0
295	71	1.85906	0	2.2023	0	1.37563	658.19	0
295	72	1.91295	0	2.2384	0	1.29515	649.33	0
295	73	1.96955	0	2.27568	0	1.21677	640.28	0
295	74	2.02908	0	2.31444	0	1.14013	630.984	0
295	75	2.09177	0	2.35457	0	1.0657	621.48	0
295	76	2.15787	0	2.39631	0	0.993308	611.729	0
295	77	2.22767	0	2.43962	0	0.923278	601.757	0
295	78	2.30149	0	2.4847	0	0.855544	591.538	0
295	79	2.37967	0	2.53156	0	0.790322	581.086	0
295	80	2.46263	0	2.58039	0	0.727608	570.386	0
295	81	2.55079	0	2.63125	0	0.667549	559.445	0
295	82	2.64467	0	2.68432	0	0.610164	548.254	0
295	83	2.74482	0	2.73971	0	0.555553	536.819	0
295	84	2.8519	0	2.79759	0	0.503736	525.132	0
295	85	2.96662	0	2.85813	0	0.454772	513.198	0
296	86	3.02845	0	2.89	0	0.430967	507.032	0
