Centerline Data file
J	X/R*	R/R*	Mach	Pres	Temp	Rho	Theta	Gamma	MassFlow
0	0.702071	0	1.5	4.18645	845.298	0.000265895	0	1.29	0
1	0.733061	0	1.50187	4.17506	844.78	0.000265334	0	1.29	0
2	0.731671	0	1.50155	4.17697	844.867	0.000265428	0	1.29	0
3	0.730565	0	1.50118	4.17927	844.972	0.000265542	0	1.29	0
4	0.729747	0	1.50074	4.18191	845.092	0.000265672	0	1.29	0
5	0.729223	0	1.50026	4.18487	845.226	0.000265817	0	1.29	0
6	0.728999	0	1.49973	4.1881	845.373	0.000265977	0	1.29	0
7	0.729083	0	1.49944	4.18985	845.452	0.000266063	0	1.29	0
8	0.729478	0	1.49922	4.19122	845.514	0.00026613	0	1.29	0
9	0.730185	0	1.49903	4.1924	845.567	0.000266188	0	1.29	0
10	0.731207	0	1.49885	4.19346	845.615	0.00026624	0	1.29	0
11	0.732549	0	1.49869	4.19443	845.66	0.000266288	0	1.29	0
12	0.734215	0	1.49854	4.19534	845.701	0.000266333	0	1.29	0
13	0.736214	0	1.4984	4.1962	845.74	0.000266376	0	1.29	0
14	0.738548	0	1.49827	4.19703	845.777	0.000266416	0	1.29	0
15	0.741225	0	1.49814	4.19781	845.813	0.000266455	0	1.29	0
16	0.744256	0	1.49802	4.19857	845.847	0.000266492	0	1.29	0
17	0.747641	0	1.4979	4.1993	845.88	0.000266528	0	1.29	0
18	0.75139	0	1.49778	4.20001	845.912	0.000266563	0	1.29	0
19	0.755506	0	1.49767	4.2007	845.943	0.000266597	0	1.29	0
20	0.760001	0	1.49756	4.20137	845.974	0.00026663	0	1.29	0
21	0.764885	0	1.49745	4.20202	846.003	0.000266662	0	1.29	0
22	0.770166	0	1.49735	4.20266	846.032	0.000266693	0	1.29	0
23	0.775856	0	1.49725	4.20329	846.061	0.000266724	0	1.29	0
24	0.781965	0	1.49715	4.2039	846.088	0.000266754	0	1.29	0
25	0.788489	0	1.49705	4.2045	846.116	0.000266784	0	1.29	0
26	0.795443	0	1.49695	4.20509	846.142	0.000266813	0	1.29	0
27	0.802828	0	1.49686	4.20567	846.169	0.000266841	0	1.29	0
28	0.810649	0	1.49676	4.20625	846.195	0.00026687	0	1.29	0
29	0.818913	0	1.49667	4.20681	846.22	0.000266897	0	1.29	0
30	0.827625	0	1.49658	4.20737	846.245	0.000266925	0	1.29	0
31	0.836792	0	1.49649	4.20791	846.27	0.000266952	0	1.29	0
32	0.84642	0	1.4964	4.20846	846.295	0.000266978	0	1.29	0
33	0.856514	0	1.49632	4.20899	846.319	0.000267004	0	1.29	0
34	0.867084	0	1.49623	4.20952	846.342	0.00026703	0	1.29	0
35	0.878136	0	1.49615	4.21004	846.366	0.000267056	0	1.29	0
36	0.88968	0	1.49606	4.21055	846.389	0.000267081	0	1.29	0
37	0.901721	0	1.49598	4.21106	846.412	0.000267106	0	1.29	0
38	0.914266	0	1.4959	4.21157	846.435	0.000267131	0	1.29	0
39	0.927323	0	1.49582	4.21207	846.458	0.000267156	0	1.29	0
40	0.940898	0	1.49574	4.21256	846.48	0.00026718	0	1.29	0
41	0.954989	0	1.49566	4.21305	846.502	0.000267204	0	1.29	0
42	0.969586	0	1.49558	4.21353	846.524	0.000267228	0	1.29	0
43	0.984656	0	1.4955	4.21401	846.546	0.000267252	0	1.29	0
44	1.00033	0	1.49542	4.21449	846.567	0.000267275	0	1.29	0
45	1.01683	0	1.49534	4.21496	846.588	0.000267298	0	1.29	0
46	1.0371	0	1.55209	3.87754	830.857	0.000250556	0	1.29	0
47	1.05817	0	1.57027	3.77402	825.818	0.000245355	0	1.29	0
48	1.07993	0	1.60634	3.57525	815.834	0.000235277	0	1.29	0
49	1.10213	0	1.62124	3.49564	811.714	0.000231206	0	1.29	0
50	1.12512	0	1.65045	3.3438	803.65	0.000223381	0	1.29	0
51	1.14871	0	1.66683	3.2611	799.139	0.000219087	0	1.29	0
52	1.17315	0	1.69302	3.13234	791.935	0.000212351	0	1.29	0
53	1.19831	0	1.7112	3.04551	786.945	0.000207773	0	1.29	0
54	1.2244	0	1.73608	2.93003	780.137	0.00020164	0	1.29	0
55	1.25133	0	1.75599	2.84031	774.701	0.000196837	0	1.29	0
56	1.27925	0	1.78052	2.73302	768.024	0.000191048	0	1.29	0
57	1.30814	0	1.80207	2.6417	762.179	0.000186081	0	1.29	0
58	1.33813	0	1.82691	2.53978	755.467	0.000180491	0	1.29	0
59	1.3692	0	1.85006	2.44788	749.234	0.000175407	0	1.29	0
60	1.40149	0	1.87565	2.34977	742.375	0.000169932	0	1.29	0
61	1.43501	0	1.90044	2.25809	735.764	0.00016477	0	1.29	0
62	1.46987	0	1.92712	2.16299	728.68	0.000159364	0	1.29	0
63	1.50613	0	1.95361	2.0722	721.69	0.000154154	0	1.29	0
64	1.5439	0	1.98168	1.97976	714.324	0.000148796	0	1.29	0
65	1.58324	0	2.00997	1.89043	706.948	0.000143565	0	1.29	0
66	1.62428	0	2.03968	1.80063	699.255	0.000138249	0	1.29	0
67	1.66712	0	2.06992	1.71328	691.482	0.000133022	0	1.29	0
68	1.71188	0	2.10151	1.62628	683.428	0.000127755	0	1.29	0
69	1.75869	0	2.13389	1.54142	675.244	0.000122556	0	1.29	0
70	1.8077	0	2.1676	1.4575	666.799	0.000117351	0	1.29	0
71	1.85906	0	2.2023	1.37563	658.19	0.000112209	0	1.29	0
72	1.91295	0	2.2384	1.29515	649.33	0.000107085	0	1.29	0
73	1.96955	0	2.27568	1.21677	640.28	0.000102026	0	1.29	0
74	2.02908	0	2.31444	1.14013	630.984	9.70084e-05	0	1.29	0
75	2.09177	0	2.35457	1.0657	621.48	9.20621e-05	0	1.29	0
76	2.15787	0	2.39631	0.993308	611.729	8.71765e-05	0	1.29	0
77	2.22767	0	2.43962	0.923278	601.757	8.23732e-05	0	1.29	0
78	2.30149	0	2.4847	0.855544	591.538	7.76488e-05	0	1.29	0
79	2.37967	0	2.53156	0.790322	581.086	7.30194e-05	0	1.29	0
80	2.46263	0	2.58039	0.727608	570.386	6.84863e-05	0	1.29	0
81	2.55079	0	2.63125	0.667549	559.445	6.4062e-05	0	1.29	0
82	2.64467	0	2.68432	0.610164	548.254	5.97502e-05	0	1.29	0
83	2.74482	0	2.73971	0.555553	536.819	5.55613e-05	0	1.29	0
84	2.8519	0	2.79759	0.503736	525.132	5.15002e-05	0	1.29	0
85	2.96662	0	2.85813	0.454772	513.198	4.75755e-05	0	1.29	0
86	3.02845	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
87	3.14429	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
88	3.26013	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
89	3.37598	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
90	3.49182	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
91	3.60766	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
92	3.7235	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
93	3.83934	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
94	3.95518	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
95	4.07102	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
96	4.18686	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
97	4.3027	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
98	4.41854	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
99	4.53438	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
100	4.65022	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
101	4.76606	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
102	4.8819	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
103	4.99774	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
104	5.11358	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
105	5.22942	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
106	5.34526	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
107	5.4611	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
108	5.57694	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
109	5.69278	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
110	5.80862	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
111	5.92446	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
112	6.0403	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
113	6.15614	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
114	6.27198	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
115	6.38782	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
116	6.50366	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
117	6.61951	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
118	6.73535	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
119	6.85119	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
120	6.96703	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
121	7.08287	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
122	7.19871	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
123	7.31455	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
124	7.43039	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
125	7.54623	0	2.89	0.430967	507.032	4.56334e-05	0	1.29	0
