i	j	x	r	mach	theta	press	temp
0	88	0.0902578	1.01066	1.5227	12.2733	118.159	2475.68
1	88	0.0942886	1.00845	1.52271	12.3094	118.157	2475.67
2	88	0.0987319	1.00602	1.52279	12.3472	118.143	2475.6
3	88	0.103337	1.0035	1.52295	12.3843	118.116	2475.47
4	88	0.108104	1.0009	1.52318	12.4205	118.075	2475.27
5	88	0.113035	0.998207	1.5235	12.4559	118.021	2475.01
6	88	0.118131	0.995435	1.5239	12.4902	117.951	2474.68
7	88	0.123394	0.992578	1.52438	12.5236	117.866	2474.27
8	88	0.128824	0.989637	1.52496	12.5558	117.767	2473.79
9	88	0.134422	0.986611	1.52563	12.587	117.651	2473.24
10	88	0.140189	0.9835	1.52639	12.617	117.519	2472.61
11	88	0.146125	0.980306	1.52725	12.6458	117.372	2471.9
12	88	0.152232	0.977027	1.5282	12.6734	117.208	2471.11
13	88	0.15851	0.973666	1.52924	12.6999	117.027	2470.24
14	88	0.164958	0.970222	1.53038	12.7251	116.831	2469.29
15	88	0.171578	0.966695	1.53162	12.7492	116.618	2468.26
16	88	0.178369	0.963088	1.53295	12.7721	116.389	2467.15
17	88	0.18533	0.9594	1.53438	12.7938	116.145	2465.97
18	88	0.192462	0.955633	1.5359	12.8144	115.884	2464.7
19	88	0.199764	0.951787	1.53752	12.834	115.608	2463.36
20	88	0.207235	0.947865	1.53923	12.8524	115.317	2461.94
21	88	0.214875	0.943866	1.54103	12.8699	115.011	2460.45
22	88	0.222682	0.939793	1.54291	12.8864	114.69	2458.88
23	88	0.230655	0.935647	1.54489	12.9019	114.355	2457.24
24	88	0.238793	0.931429	1.54696	12.9166	114.006	2455.52
25	88	0.247095	0.927141	1.54911	12.9304	113.644	2453.73
26	88	0.255559	0.922785	1.55134	12.9434	113.268	2451.88
27	88	0.264184	0.918362	1.55366	12.9556	112.879	2449.95
28	88	0.272968	0.913874	1.55606	12.9671	112.478	2447.96
29	88	0.281909	0.909322	1.55854	12.9778	112.064	2445.9
30	88	0.291005	0.904709	1.5611	12.9879	111.639	2443.78
31	88	0.300256	0.900036	1.56374	12.9973	111.202	2441.59
32	88	0.309659	0.895304	1.56645	13.0061	110.753	2439.34
33	88	0.319213	0.890516	1.56924	13.0142	110.294	2437.02
34	88	0.328915	0.885673	1.57211	13.0217	109.823	2434.64
35	88	0.338765	0.880777	1.57506	13.0286	109.341	2432.2
36	88	0.34876	0.875829	1.57808	13.0349	108.849	2429.69
37	88	0.3589	0.870831	1.58117	13.0405	108.346	2427.12
38	88	0.369182	0.865785	1.58435	13.0454	107.833	2424.49
39	88	0.379606	0.860692	1.5876	13.0497	107.309	2421.79
40	88	0.390169	0.855553	1.59093	13.0532	106.775	2419.04
41	88	0.400872	0.85037	1.59433	13.056	106.23	2416.21
42	88	0.411712	0.845144	1.59782	13.0581	105.675	2413.32
43	88	0.422688	0.839877	1.60139	13.0593	105.11	2410.36
44	88	0.4338	0.83457	1.60504	13.0596	104.534	2407.34
45	88	0.445047	0.829223	1.60878	13.0591	103.947	2404.25
46	88	0.456427	0.823839	1.6126	13.0575	103.35	2401.08
47	88	0.467941	0.818417	1.6165	13.0549	102.742	2397.85
48	88	0.479586	0.812961	1.6205	13.0513	102.123	2394.54
49	88	0.491364	0.807469	1.62459	13.0465	101.494	2391.16
50	88	0.503272	0.801944	1.62876	13.0405	100.854	2387.71
51	88	0.51531	0.796386	1.63304	13.0333	100.202	2384.18
52	88	0.527479	0.790796	1.6374	13.0248	99.54	2380.57
53	88	0.539776	0.785176	1.64187	13.0149	98.8667	2376.88
54	88	0.552202	0.779526	1.64643	13.0035	98.1825	2373.11
55	88	0.564756	0.773847	1.65109	12.9907	97.4872	2369.26
56	88	0.577437	0.76814	1.65586	12.9763	96.781	2365.33
57	88	0.590244	0.762405	1.66073	12.9603	96.0639	2361.32
58	88	0.603178	0.756645	1.6657	12.9427	95.336	2357.22
59	88	0.616235	0.75086	1.67078	12.9234	94.5973	2353.03
60	88	0.629417	0.74505	1.67597	12.9023	93.8481	2348.76
61	88	0.642721	0.739217	1.68126	12.8794	93.0884	2344.4
62	88	0.656147	0.733362	1.68667	12.8547	92.3184	2339.96
63	88	0.669692	0.727486	1.69218	12.8281	91.5384	2335.43
64	88	0.683357	0.721589	1.6978	12.7996	90.7484	2330.81
65	88	0.696813	0.715813	1.70306	12.781	90.015	2326.49
66	88	0.710074	0.710151	1.70804	12.7698	89.3254	2322.41
67	88	0.723011	0.704656	1.71269	12.7658	88.6843	2318.59
68	88	0.736325	0.699031	1.71786	12.7502	87.9778	2314.35
69	88	0.749558	0.69347	1.72293	12.7374	87.2893	2310.2
70	88	0.762866	0.687906	1.72808	12.7232	86.5935	2305.98
71	88	0.776522	0.682227	1.73366	12.6997	85.8462	2301.42
72	88	0.790021	0.676643	1.73903	12.6818	85.1323	2297.04
73	88	0.80359	0.67106	1.74447	12.6627	84.4134	2292.59
74	88	0.81751	0.665362	1.75034	12.6343	83.6439	2287.8
75	88	0.831571	0.659636	1.75638	12.6027	82.859	2282.88
76	88	0.845187	0.654121	1.76186	12.5842	82.1513	2278.41
77	88	0.859248	0.648456	1.7679	12.5535	81.3785	2273.49
78	88	0.873564	0.642718	1.77426	12.5159	80.5715	2268.32
79	88	0.887915	0.636995	1.78067	12.4775	79.7648	2263.11
80	88	0.901796	0.631489	1.78652	12.4521	79.0351	2258.37
81	88	0.916113	0.625839	1.79292	12.4144	78.2425	2253.17
82	88	0.930662	0.620127	1.79964	12.3698	77.4189	2247.73
83	88	0.945331	0.614396	1.80654	12.3212	76.5814	2242.15
84	88	0.959517	0.608882	1.81287	12.2854	75.8188	2237.03
85	88	0.973834	0.603345	1.81942	12.2447	75.0379	2231.75
86	88	0.988444	0.597722	1.82637	12.195	74.2164	2226.14
87	88	1.00319	0.592075	1.83354	12.1402	73.3776	2220.37
88	88	1.01798	0.586438	1.84082	12.0825	72.5339	2214.51
89	88	1.0322	0.581042	1.84748	12.0383	71.7696	2209.16
90	88	1.04657	0.575616	1.8544	11.988	70.9835	2203.61
91	88	1.06118	0.570121	1.86171	11.9288	70.1621	2197.76
92	88	1.07588	0.564619	1.8692	11.8648	69.3282	2191.76
93	88	1.09058	0.559143	1.87678	11.7981	68.4936	2185.71
94	88	1.10512	0.553748	1.88427	11.7326	67.6774	2179.73
95	88	1.11898	0.548624	1.89109	11.6808	66.942	2174.29
96	88	1.12113	0.547832	1.89303	11.6447	66.7343	2172.75
97	88	1.12547	0.546231	1.89607	11.5999	66.4105	2170.34
98	88	1.13288	0.543503	1.90009	11.5598	65.9829	2167.14
99	88	1.14382	0.539486	1.90569	11.5118	65.3927	2162.69
100	88	1.15849	0.534117	1.91311	11.4504	64.6174	2156.81
101	88	1.17681	0.527443	1.92228	11.3774	63.6711	2149.55
102	88	1.19888	0.519446	1.93335	11.2896	62.5451	2140.81
103	88	1.22503	0.510037	1.94675	11.1775	61.2061	2130.25
104	88	1.25626	0.498875	1.96376	11.0136	59.5444	2116.9
105	88	1.27369	0.492679	1.97401	10.8986	58.5632	2108.88
106	88	1.29525	0.48504	1.98782	10.7203	57.264	2098.09
107	88	1.32238	0.475451	2.00722	10.4307	55.484	2083.01
108	88	1.34809	0.46639	2.02251	10.2512	54.1175	2071.18
109	88	1.37038	0.458553	2.03753	10.04	52.8051	2059.6
110	88	1.39942	0.448371	2.05491	9.83167	51.3239	2046.25
111	88	1.41963	0.441304	2.06827	9.6473	50.2122	2036.04
112	88	1.45198	0.430016	2.08771	9.41038	48.6331	2021.23
113	88	1.47058	0.423538	2.09975	9.24759	47.679	2012.1
114	88	1.48699	0.417828	2.10954	9.12922	46.9165	2004.71
115	88	1.50748	0.410709	2.12276	8.95055	45.9047	1994.75
116	88	1.52382	0.405036	2.13268	8.82654	45.1586	1987.29
117	88	1.54107	0.399051	2.14375	8.67755	44.3403	1979.01
118	88	1.56413	0.391059	2.1579	8.49715	43.3141	1968.45
