i	j	x	r	mach	theta	press	temp	Massflow
0	242	0.219921	1.02448	1.53872	12.7044	115.403	1779	11.4416
1	242	0.227155	1.02067	1.54015	12.724	115.16	1778.15	11.3391
2	242	0.238108	1.01492	1.54243	12.7501	114.773	1776.78	11.1852
3	242	0.249458	1.00898	1.54491	12.7738	114.352	1775.29	11.0273
4	242	0.2612	1.00286	1.54759	12.7953	113.9	1773.68	10.8655
5	242	0.273332	0.996573	1.55046	12.8147	113.417	1771.96	10.7002
6	242	0.285846	0.990116	1.55351	12.8322	112.904	1770.13	10.5316
7	242	0.298737	0.983497	1.55675	12.8478	112.363	1768.18	10.36
8	242	0.311999	0.976722	1.56017	12.8616	111.794	1766.14	10.1856
9	242	0.325625	0.969797	1.56375	12.8739	111.199	1763.98	10.0086
10	242	0.339608	0.962728	1.56751	12.8846	110.578	1761.73	9.8294
11	242	0.353942	0.955522	1.57144	12.8939	109.934	1759.38	9.64816
12	242	0.36862	0.948184	1.57552	12.9017	109.265	1756.93	9.46515
13	242	0.383636	0.94072	1.57977	12.908	108.573	1754.38	9.28062
14	242	0.398985	0.933135	1.58419	12.913	107.859	1751.74	9.09479
15	242	0.41466	0.925436	1.58876	12.9164	107.122	1749	8.9079
16	242	0.430657	0.917626	1.5935	12.9182	106.363	1746.16	8.72014
17	242	0.446972	0.909711	1.59841	12.9184	105.582	1743.22	8.53174
18	242	0.463599	0.901695	1.60349	12.9168	104.779	1740.18	8.34288
19	242	0.480537	0.893583	1.60874	12.9132	103.953	1737.04	8.15375
20	242	0.497781	0.885377	1.61417	12.9076	103.105	1733.79	7.96453
21	242	0.51533	0.877083	1.61978	12.8997	102.235	1730.43	7.7754
22	242	0.53318	0.868703	1.62558	12.8894	101.341	1726.97	7.58652
23	242	0.551329	0.86024	1.63157	12.8765	100.425	1723.39	7.39806
24	242	0.569775	0.851698	1.63777	12.8608	99.4852	1719.69	7.21017
25	242	0.588516	0.84308	1.64416	12.8422	98.5225	1715.88	7.02302
26	242	0.60755	0.834389	1.65076	12.8204	97.5366	1711.94	6.83675
27	242	0.626873	0.825629	1.65758	12.7953	96.5276	1707.88	6.65153
28	242	0.646484	0.816802	1.66461	12.7668	95.4959	1703.69	6.46751
29	242	0.666379	0.807911	1.67186	12.7347	94.4416	1699.37	6.28483
30	242	0.686553	0.798961	1.67933	12.6988	93.3653	1694.93	6.10366
31	242	0.707002	0.789954	1.68702	12.6591	92.2676	1690.36	5.92415
32	242	0.727722	0.780894	1.69494	12.6154	91.1491	1685.65	5.74645
33	242	0.747978	0.772101	1.70218	12.5898	90.1369	1681.36	5.57666
34	242	0.767527	0.763677	1.70865	12.583	89.2407	1677.52	5.41631
35	242	0.787301	0.755217	1.71547	12.5681	88.304	1673.48	5.25754
36	242	0.806993	0.746852	1.72225	12.5549	87.3809	1669.47	5.10279
37	242	0.827115	0.738366	1.72951	12.5315	86.4012	1665.18	4.94811
