i	j	x	r	mach	theta	press	temp	Massflow
0	0	0	1	1.1318	0	201.069	2019.59	11.4009
1	0	1.0899e-05	0.999979	1.1318	0.000740591	201.067	2019.59	11.4004
2	0	4.3597e-05	0.999918	1.13183	0.00296143	201.062	2019.57	11.399
3	0	9.8101e-05	0.999815	1.13186	0.00666005	201.053	2019.55	11.3967
4	0	0.000174424	0.999671	1.13191	0.0118325	201.04	2019.52	11.3934
5	0	0.000272587	0.999486	1.13198	0.0184735	201.024	2019.49	11.3892
6	0	0.000392615	0.99926	1.13206	0.0265761	201.005	2019.44	11.3841
7	0	0.00053454	0.998993	1.13215	0.036132	200.981	2019.39	11.378
8	0	0.000698402	0.998685	1.13226	0.0471316	200.954	2019.33	11.3711
9	0	0.000884245	0.998335	1.13238	0.0595636	200.924	2019.26	11.3631
10	0	0.00109212	0.997945	1.13252	0.0734154	200.889	2019.18	11.3543
11	0	0.00132209	0.997514	1.13268	0.0886731	200.852	2019.09	11.3445
12	0	0.00157421	0.997042	1.13284	0.105321	200.81	2019	11.3338
13	0	0.00184855	0.996528	1.13302	0.123343	200.765	2018.89	11.3222
14	0	0.00214519	0.995974	1.13322	0.142721	200.717	2018.78	11.3097
15	0	0.00246421	0.99538	1.13343	0.163434	200.664	2018.66	11.2962
16	0	0.00280569	0.994744	1.13366	0.185464	200.609	2018.53	11.2818
17	0	0.00316973	0.994067	1.1339	0.208786	200.549	2018.4	11.2665
18	0	0.00355643	0.99335	1.13415	0.233379	200.486	2018.25	11.2503
19	0	0.00396589	0.992593	1.13442	0.259218	200.42	2018.1	11.2332
20	0	0.00439822	0.991794	1.1347	0.286276	200.349	2017.94	11.2152
21	0	0.00485352	0.990955	1.135	0.314528	200.275	2017.77	11.1963
22	0	0.00533193	0.990076	1.13532	0.343944	200.198	2017.59	11.1765
23	0	0.00583357	0.989156	1.13564	0.374496	200.117	2017.4	11.1558
24	0	0.00635855	0.988195	1.13599	0.406154	200.032	2017.21	11.1341
25	0	0.00690702	0.987195	1.13634	0.438886	199.944	2017	11.1116
26	0	0.00747912	0.986154	1.13672	0.47266	199.852	2016.79	11.0883
