i	X	R	MACH	THETA	massflow
0	0	1	1.1318	0	11.4015
1	9.80859e-05	0.999815	1.13186	0.00665863	11.3973
2	0.000392442	0.99926	1.13206	0.02656	11.3847
3	0.000883632	0.998335	1.13238	0.0595066	11.3637
4	0.00157273	0.997042	1.13284	0.105185	11.3344
5	0.00246129	0.99538	1.13343	0.163168	11.2968
6	0.00355138	0.99335	1.13414	0.232923	11.2509
7	0.00484548	0.990955	1.13499	0.313811	11.1969
8	0.00634654	0.988195	1.13596	0.4051	11.1347
9	0.00805787	0.985073	1.13707	0.505969	11.0646
10	0.00998314	0.981589	1.1383	0.615515	10.9865
11	0.0121264	0.977747	1.13967	0.732771	10.9006
12	0.0144917	0.973549	1.14116	0.856706	10.8071
13	0.0170838	0.968997	1.14277	0.986246	10.7061
14	0.019907	0.964094	1.14451	1.12028	10.5977
15	0.0229662	0.958842	1.14636	1.25768	10.4821
16	0.0262659	0.953247	1.14833	1.3973	10.3594
17	0.0298109	0.94731	1.15041	1.53802	10.23
18	0.0336056	0.941036	1.15259	1.67872	10.0939
19	0.0376543	0.934428	1.15486	1.81832	9.95137
20	0.041961	0.927491	1.15722	1.9558	9.80268
21	0.0465293	0.920228	1.15966	2.09018	9.64804
22	0.0513625	0.912645	1.16217	2.22056	9.48771
23	0.0564633	0.904746	1.16474	2.34613	9.32195
24	0.0618338	0.896536	1.16737	2.46615	9.15102
25	0.0674758	0.888021	1.17003	2.58	8.97523
26	0.07339	0.879204	1.17272	2.68715	8.79484
27	0.0795769	0.870093	1.17543	2.78717	8.61018
28	0.086036	0.860693	1.17816	2.87975	8.42154
29	0.0927663	0.85101	1.18088	2.96468	8.22924
30	0.099766	0.841049	1.18361	3.04185	8.03362
31	0.107033	0.830818	1.18631	3.11124	7.83498
32	0.114563	0.820322	1.189	3.17293	7.63367
33	0.122354	0.809568	1.19167	3.22709	7.43002
34	0.130401	0.798564	1.19431	3.27393	7.22437
35	0.138699	0.787315	1.19693	3.31376	7.01705
36	0.147244	0.77583	1.19952	3.34692	6.80841
37	0.15603	0.764116	1.20208	3.37378	6.59878
38	0.16505	0.75218	1.20463	3.39474	6.3885
39	0.1743	0.74003	1.20716	3.41024	6.17791
40	0.183774	0.727673	1.20968	3.42068	5.96732
41	0.193464	0.715119	1.2122	3.42649	5.75707
42	0.203365	0.702374	1.21474	3.42806	5.54748
43	0.213472	0.689448	1.2173	3.42578	5.33887
44	0.223777	0.676348	1.21989	3.41999	5.13154
45	0.234275	0.663084	1.22254	3.411	4.92579
46	0.244961	0.649663	1.22525	3.39909	4.72192
47	0.255829	0.636096	1.22804	3.38449	4.52023
48	0.266874	0.622391	1.23092	3.36739	4.32097
49	0.278091	0.608557	1.23392	3.34794	4.12444
50	0.289476	0.594604	1.23704	3.32626	3.93088
51	0.301023	0.58054	1.2403	3.30241	3.74056
52	0.312728	0.566376	1.24372	3.27644	3.5537
53	0.324587	0.552122	1.24731	3.24836	3.37054
54	0.336596	0.537786	1.25109	3.21817	3.19131
55	0.348751	0.523379	1.25506	3.18581	3.0162
56	0.361047	0.508912	1.25924	3.15126	2.84541
57	0.373482	0.494394	1.26365	3.11444	2.67913
58	0.386049	0.479835	1.26828	3.0753	2.51752
59	0.398745	0.465246	1.27315	3.03376	2.36074
60	0.411566	0.450638	1.27826	2.98977	2.20893
61	0.424506	0.436021	1.28362	2.94326	2.06222
62	0.437559	0.421406	1.28923	2.89418	1.92072
63	0.45072	0.406804	1.29509	2.84249	1.78453
64	0.463983	0.392226	1.3012	2.78816	1.65373
65	0.477341	0.377683	1.30756	2.73118	1.52839
66	0.490785	0.363186	1.31416	2.67153	1.40854
67	0.504308	0.348748	1.321	2.60923	1.29423
68	0.517901	0.334378	1.32808	2.54431	1.18547
69	0.531554	0.320089	1.33537	2.4768	1.08227
70	0.545256	0.305893	1.34288	2.40675	0.984593
71	0.558995	0.291802	1.35059	2.33422	0.892419
72	0.572759	0.277828	1.35848	2.25929	0.805696
73	0.586535	0.263984	1.36654	2.18205	0.724357
74	0.600308	0.250281	1.37476	2.10258	0.648322
75	0.614063	0.236733	1.38312	2.021	0.577496
76	0.627783	0.223353	1.39159	1.93742	0.511767
77	0.64145	0.210154	1.40017	1.85197	0.451011
78	0.655046	0.19715	1.40882	1.76479	0.395091
79	0.668552	0.184354	1.41753	1.67604	0.343856
80	0.681945	0.17178	1.42627	1.58587	0.297147
81	0.695205	0.159445	1.43503	1.49447	0.254789
82	0.708308	0.147362	1.44377	1.40204	0.216601
83	0.72123	0.135548	1.45247	1.3088	0.182392
84	0.733944	0.124019	1.46111	1.21498	0.151964
85	0.746424	0.112792	1.46966	1.12085	0.125109
86	0.758641	0.101886	1.47809	1.0267	0.101617
87	0.770564	0.091319	1.48637	0.932863	0.0812698
88	0.782161	0.0811128	1.49448	0.839686	0.0638465
89	0.78778	0.0712893	1.49822	0.741869	0.049219
90	0.790476	0.0618726	1.49986	0.644901	0.0370415
91	0.790797	0.0528898	1.4998	0.550564	0.0270657
92	0.7911	0.044371	1.49979	0.461435	0.0190482
93	0.791385	0.0363508	1.49982	0.377765	0.0127837
94	0.79165	0.0288697	1.49988	0.299882	0.00806279
95	0.791893	0.0219768	1.49996	0.228224	0.00467201
96	0.792003	0.0157341	1.49997	0.163354	0.00239467
97	0.792051	0.010224	1.49997	0.106129	0.00101112
98	0.792092	0.00556695	1.49998	0.057783	0.000299773
99	0.792124	0.00196858	1.5	0.0204331	3.74851e-05
100	0.792128	0	1.5	0	0
