i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
0	0	0	1	1.1318	0	201.069	2795.37	0.00392857	9.69057
1	0	4.3595e-05	0.999918	1.13183	0.00296124	201.062	2795.34	0.00392846	9.68898
2	0	0.000174399	0.999671	1.13191	0.0118302	201.04	2795.28	0.00392814	9.68422
3	0	0.000392524	0.99926	1.13206	0.0265677	201.005	2795.16	0.0039276	9.67629
4	0	0.000698183	0.998685	1.13226	0.0471112	200.954	2795	0.00392684	9.6652
5	0	0.00109169	0.997945	1.13252	0.0733754	200.89	2794.8	0.00392586	9.65095
6	0	0.00157346	0.997042	1.13284	0.105252	200.811	2794.55	0.00392467	9.63355
7	0	0.00214399	0.995974	1.13322	0.142611	200.717	2794.25	0.00392326	9.61302
8	0	0.00280391	0.994744	1.13365	0.185301	200.61	2793.91	0.00392164	9.58936
9	0	0.00355389	0.99335	1.13415	0.23315	200.487	2793.52	0.0039198	9.5626
10	0	0.00439473	0.991794	1.1347	0.285964	200.351	2793.08	0.00391774	9.53274
11	0	0.00532729	0.990076	1.13531	0.343532	200.2	2792.6	0.00391546	9.49981
12	0	0.00635252	0.988195	1.13597	0.405625	200.035	2792.08	0.00391297	9.46384
13	0	0.00747145	0.986154	1.1367	0.471995	199.855	2791.5	0.00391026	9.42483
14	0	0.00868517	0.983952	1.13748	0.54238	199.662	2790.88	0.00390734	9.38283
15	0	0.00999483	0.981589	1.13833	0.616503	199.454	2790.22	0.0039042	9.33785
16	0	0.0114017	0.979068	1.13923	0.694073	199.232	2789.51	0.00390084	9.28993
17	0	0.0129069	0.976387	1.14018	0.774788	198.996	2788.76	0.00389728	9.23909
18	0	0.0145119	0.973549	1.1412	0.858336	198.746	2787.96	0.0038935	9.18538
19	0	0.016218	0.970553	1.14226	0.944394	198.483	2787.11	0.00388952	9.12883
20	0	0.0180265	0.967401	1.14339	1.03264	198.206	2786.22	0.00388534	9.06947
21	0	0.019939	0.964094	1.14457	1.12273	197.916	2785.29	0.00388095	9.00735
22	0	0.0219566	0.960631	1.1458	1.21433	197.613	2784.32	0.00387637	8.94251
23	0	0.0240809	0.957015	1.14708	1.30711	197.298	2783.3	0.0038716	8.87499
24	0	0.0263133	0.953247	1.14842	1.40072	196.971	2782.25	0.00386664	8.80485
25	0	0.0286552	0.949327	1.1498	1.49484	196.632	2781.15	0.00386151	8.73212
26	0	0.0311078	0.945256	1.15123	1.58912	196.282	2780.02	0.0038562	8.65686
27	0	0.0336725	0.941036	1.1527	1.68324	195.921	2778.85	0.00385073	8.57912
28	0	0.0363507	0.936667	1.15422	1.77688	195.55	2777.65	0.0038451	8.49896
29	0	0.0391434	0.932152	1.15578	1.86974	195.169	2776.41	0.00383932	8.41643
30	0	0.0420518	0.927491	1.15738	1.9615	194.779	2775.14	0.00383341	8.3316
31	0	0.045077	0.922685	1.15901	2.05189	194.381	2773.85	0.00382737	8.24451
32	0	0.04822	0.917736	1.16067	2.14064	193.976	2772.53	0.00382121	8.15525
33	0	0.0514816	0.912645	1.16237	2.22748	193.564	2771.18	0.00381494	8.06386
34	0	0.0548627	0.907414	1.16409	2.31218	193.145	2769.81	0.00380857	7.97042
35	0	0.0583639	0.902044	1.16584	2.39451	192.721	2768.42	0.00380212	7.875
36	0	0.0619858	0.896536	1.16761	2.47427	192.293	2767.01	0.00379559	7.77766
37	0	0.0657287	0.890893	1.1694	2.55128	191.86	2765.59	0.00378901	7.67848
38	0	0.0695931	0.885115	1.1712	2.62537	191.425	2764.15	0.00378237	7.57753
39	0	0.0735791	0.879204	1.17301	2.69641	190.987	2762.71	0.00377569	7.47488
40	0	0.0776867	0.873163	1.17484	2.76426	190.547	2761.25	0.00376898	7.37062
41	0	0.0819159	0.866992	1.17667	2.82883	190.106	2759.79	0.00376225	7.26482
42	0	0.0862664	0.860693	1.1785	2.89005	189.665	2758.33	0.00375552	7.15755
43	0	0.0907378	0.854269	1.18034	2.94784	189.224	2756.86	0.00374878	7.0489
44	0	0.0953297	0.84772	1.18217	3.00218	188.785	2755.4	0.00374206	6.93895
45	0	0.100041	0.841049	1.184	3.05305	188.346	2753.93	0.00373535	6.82779
46	0	0.104872	0.834258	1.18583	3.10045	187.91	2752.47	0.00372867	6.71548
47	0	0.109821	0.827348	1.18764	3.14439	187.476	2751.02	0.00372202	6.60213
48	0	0.114887	0.820322	1.18945	3.18491	187.044	2749.57	0.00371541	6.4878
49	0	0.120069	0.813181	1.19125	3.22206	186.616	2748.13	0.00370885	6.37259
50	0	0.125366	0.805927	1.19304	3.25591	186.191	2746.7	0.00370233	6.25659
51	0	0.130777	0.798564	1.19481	3.28653	185.769	2745.28	0.00369585	6.13987
52	0	0.136299	0.791091	1.19658	3.31402	185.351	2743.86	0.00368943	6.02252
53	0	0.141932	0.783513	1.19833	3.33847	184.936	2742.46	0.00368305	5.90462
54	0	0.147674	0.77583	1.20007	3.36	184.524	2741.06	0.00367673	5.78627
55	0	0.153524	0.768046	1.20179	3.37871	184.115	2739.68	0.00367044	5.66755
56	0	0.159479	0.760162	1.20351	3.39473	183.71	2738.3	0.0036642	5.54854
57	0	0.165538	0.75218	1.20522	3.40818	183.306	2736.92	0.003658	5.42933
58	0	0.171699	0.744103	1.20692	3.41919	182.905	2735.55	0.00365182	5.30999
59	0	0.177961	0.735933	1.20862	3.42788	182.506	2734.19	0.00364566	5.19062
60	0	0.184321	0.727673	1.21032	3.43437	182.107	2732.82	0.00363952	5.0713
61	0	0.190779	0.719325	1.21202	3.4388	181.709	2731.45	0.00363338	4.9521
62	0	0.197331	0.710891	1.21372	3.44127	181.311	2730.09	0.00362723	4.83312
63	0	0.203976	0.702374	1.21542	3.44192	180.911	2728.71	0.00362106	4.71442
64	0	0.210713	0.693776	1.21714	3.44084	180.51	2727.33	0.00361486	4.59609
65	0	0.217539	0.6851	1.21887	3.43814	180.106	2725.93	0.00360862	4.47821
66	0	0.224454	0.676348	1.22062	3.43393	179.698	2724.52	0.00360231	4.36085
67	0	0.231455	0.667523	1.2224	3.42829	179.285	2723.09	0.00359593	4.24409
68	0	0.23854	0.658627	1.22419	3.42131	178.867	2721.64	0.00358946	4.12801
69	0	0.245708	0.649663	1.22602	3.41306	178.443	2720.16	0.00358288	4.01267
70	0	0.252958	0.640634	1.22789	3.40361	178.011	2718.65	0.00357619	3.89815
71	0	0.260287	0.631543	1.22979	3.39302	177.57	2717.11	0.00356935	3.78453
72	0	0.267695	0.622391	1.23174	3.38134	177.119	2715.54	0.00356236	3.67186
73	0	0.27518	0.613182	1.23374	3.36862	176.658	2713.92	0.0035552	3.56022
74	0	0.28274	0.603919	1.23579	3.35488	176.185	2712.26	0.00354786	3.44967
75	0	0.290375	0.594604	1.23791	3.34015	175.699	2710.55	0.00354031	3.34028
76	0	0.298082	0.58524	1.24008	3.32446	175.2	2708.79	0.00353254	3.23211
77	0	0.305861	0.575829	1.24232	3.30783	174.686	2706.97	0.00352454	3.12523
78	0	0.31371	0.566376	1.24464	3.29024	174.156	2705.09	0.0035163	3.01968
79	0	0.321628	0.556883	1.24703	3.27172	173.61	2703.15	0.00350779	2.91554
80	0	0.329614	0.547352	1.2495	3.25226	173.047	2701.14	0.003499	2.81284
81	0	0.337667	0.537786	1.25206	3.23184	172.465	2699.07	0.00348992	2.71166
82	0	0.345785	0.528189	1.25471	3.21046	171.865	2696.92	0.00348055	2.61204
83	0	0.353967	0.518563	1.25744	3.18811	171.245	2694.69	0.00347086	2.51402
84	0	0.362212	0.508912	1.26028	3.16476	170.606	2692.39	0.00346085	2.41766
85	0	0.37052	0.499238	1.26321	3.1404	169.945	2690.01	0.00345051	2.32301
86	0	0.378887	0.489545	1.26624	3.11502	169.264	2687.54	0.00343983	2.2301
87	0	0.387314	0.479835	1.26937	3.08858	168.561	2684.98	0.0034288	2.13898
88	0	0.395799	0.470112	1.27262	3.06108	167.836	2682.34	0.00341743	2.04968
89	0	0.40434	0.460379	1.27596	3.03249	167.09	2679.61	0.00340569	1.96225
90	0	0.412936	0.450638	1.27942	3.00278	166.321	2676.79	0.0033936	1.87671
91	0	0.421586	0.440894	1.28299	2.97196	165.53	2673.88	0.00338114	1.7931
92	0	0.430288	0.431149	1.28667	2.93999	164.717	2670.87	0.00336832	1.71145
93	0	0.43904	0.421406	1.29046	2.90687	163.882	2667.77	0.00335514	1.63178
94	0	0.447841	0.41167	1.29436	2.87258	163.025	2664.58	0.0033416	1.55411
95	0	0.456688	0.401942	1.29838	2.83711	162.147	2661.29	0.0033277	1.47847
96	0	0.46558	0.392226	1.3025	2.80046	161.248	2657.91	0.00331345	1.40488
97	0	0.474515	0.382526	1.30674	2.76261	160.327	2654.44	0.00329885	1.33335
98	0	0.48349	0.372845	1.31109	2.72358	159.387	2650.88	0.00328391	1.26389
99	0	0.492503	0.363186	1.31554	2.68336	158.427	2647.22	0.00326864	1.19652
100	0	0.501551	0.353553	1.32011	2.64196	157.448	2643.47	0.00325305	1.13124
101	0	0.510632	0.343949	1.32477	2.59937	156.451	2639.64	0.00323714	1.06805
102	0	0.519742	0.334378	1.32954	2.55561	155.436	2635.72	0.00322093	1.00697
103	0	0.52888	0.324842	1.33441	2.5107	154.406	2631.72	0.00320444	0.947981
104	0	0.538041	0.315346	1.33937	2.46464	153.359	2627.63	0.00318767	0.891089
105	0	0.547223	0.305893	1.34443	2.41746	152.298	2623.47	0.00317064	0.836283
106	0	0.556422	0.296487	1.34957	2.36916	151.224	2619.23	0.00315336	0.783557
107	0	0.565634	0.287131	1.3548	2.31978	150.137	2614.91	0.00313586	0.732897
108	0	0.574855	0.277828	1.36011	2.26934	149.039	2610.53	0.00311815	0.684289
109	0	0.584081	0.268584	1.3655	2.21786	147.931	2606.09	0.00310025	0.637716
110	0	0.593308	0.2594	1.37096	2.16538	146.814	2601.58	0.00308218	0.593158
111	0	0.602532	0.250281	1.37648	2.11191	145.689	2597.01	0.00306395	0.550593
112	0	0.611747	0.241231	1.38206	2.0575	144.559	2592.39	0.00304559	0.509995
113	0	0.620949	0.232254	1.38771	2.00218	143.423	2587.73	0.00302712	0.471338
114	0	0.630133	0.223353	1.3934	1.94598	142.284	2583.02	0.00300855	0.434592
115	0	0.639294	0.214533	1.39913	1.88895	141.143	2578.27	0.00298992	0.399725
116	0	0.648425	0.205797	1.4049	1.83112	140.001	2573.49	0.00297123	0.366703
117	0	0.657522	0.19715	1.41071	1.77255	138.86	2568.68	0.00295252	0.335489
118	0	0.666578	0.188595	1.41653	1.71326	137.72	2563.85	0.00293381	0.306044
119	0	0.675587	0.180137	1.42238	1.65333	136.584	2559	0.00291512	0.27833
120	0	0.684542	0.17178	1.42824	1.59278	135.452	2554.14	0.00289647	0.252304
