i	j	x	r	mach	theta	press	temp	massflow
100	0	0.792128	0	1.5	0	122.151	1802.25	0
82	1	0.581326	0	1.36636	0	147.754	1882.33	0
82	2	0.581575	0	1.36058	0	148.942	1885.77	0
82	3	0.585506	0	1.35627	0	149.832	1888.34	0
82	4	0.593228	0	1.3527	0	150.573	1890.47	0
83	5	0.597181	0	1.34959	0	151.22	1892.32	0
83	6	0.60181	0	1.34681	0	151.801	1893.98	0
84	7	0.606643	0	1.34427	0	152.331	1895.49	0
84	8	0.615657	0	1.34192	0	152.823	1896.89	0
85	9	0.621474	0	1.33974	0	153.281	1898.19	0
85	10	0.635142	0	1.33769	0	153.713	1899.4	0
86	11	0.641966	0	1.33576	0	154.12	1900.55	0
87	12	0.649141	0	1.33393	0	154.506	1901.64	0
87	13	0.659928	0	1.33221	0	154.871	1902.67	0
88	14	0.667384	0	1.33058	0	155.217	1903.63	0
89	15	0.674774	0	1.32904	0	155.542	1904.54	0
89	16	0.689031	0	1.32764	0	155.84	1905.38	0
90	17	0.696397	0	1.32639	0	156.106	1906.12	0
91	18	0.703811	0	1.32536	0	156.326	1906.73	0
92	19	0.711297	0	1.32472	0	156.462	1907.11	0
92	20	0.722229	0	1.34867	0	151.41	1892.87	0
93	21	0.730084	0	1.35509	0	150.076	1889.04	0
94	22	0.737904	0	1.36771	0	147.476	1881.52	0
95	23	0.745642	0	1.37289	0	146.419	1878.43	0
95	24	0.760204	0	1.3895	0	143.063	1868.5	0
96	25	0.767874	0	1.39439	0	142.085	1865.58	0
97	26	0.775524	0	1.40345	0	140.287	1860.16	0
98	27	0.78312	0	1.40849	0	139.295	1857.14	0
99	28	0.79069	0	1.41643	0	137.74	1852.39	0
99	29	0.801291	0	1.42447	0	136.18	1847.57	0
100	30	0.808853	0	1.43187	0	134.754	1843.13	0
101	31	0.816377	0	1.43746	0	133.684	1839.78	0
102	32	0.823877	0	1.4444	0	132.367	1835.62	0
103	33	0.831347	0	1.45012	0	131.286	1832.19	0
103	34	0.84576	0	1.46246	0	128.98	1824.79	0
104	35	0.853228	0	1.46829	0	127.901	1821.29	0
105	36	0.860677	0	1.47472	0	126.719	1817.43	0
106	37	0.868101	0	1.48051	0	125.661	1813.95	0
107	38	0.875506	0	1.48672	0	124.534	1810.22	0
108	39	0.882891	0	1.49252	0	123.488	1806.74	0
108	40	0.893831	0	1.50147	0	121.89	1801.37	0
109	41	0.901243	0	1.5074	0	120.837	1797.8	0
110	42	0.908639	0	1.51339	0	119.783	1794.21	0
111	43	0.916018	0	1.51926	0	118.757	1790.68	0
112	44	0.923383	0	1.52517	0	117.73	1787.13	0
113	45	0.930733	0	1.53099	0	116.726	1783.64	0
114	46	0.93807	0	1.53684	0	115.724	1780.13	0
