Centerline Data file
J	X/R*	R/R*	Mach	Pres	Temp	Rho	Theta	Gamma	MassFlow
0	0.792128	0	1.5	122.151	1802.25	0.00370202	0	1.2961	0
1	0.581326	0	1.36636	147.754	1882.33	0.00428746	0	1.2961	0
2	0.581575	0	1.36058	148.942	1885.77	0.00431402	0	1.2961	0
3	0.585506	0	1.35627	149.832	1888.34	0.00433391	0	1.2961	0
4	0.593228	0	1.3527	150.573	1890.47	0.00435043	0	1.2961	0
5	0.597181	0	1.34959	151.22	1892.32	0.00436485	0	1.2961	0
6	0.60181	0	1.34681	151.801	1893.98	0.00437777	0	1.2961	0
7	0.606643	0	1.34427	152.331	1895.49	0.00438958	0	1.2961	0
8	0.615657	0	1.34192	152.823	1896.89	0.0044005	0	1.2961	0
9	0.621474	0	1.33974	153.281	1898.19	0.00441069	0	1.2961	0
10	0.635142	0	1.33769	153.713	1899.4	0.00442026	0	1.2961	0
11	0.641966	0	1.33576	154.12	1900.55	0.00442929	0	1.2961	0
12	0.649141	0	1.33393	154.506	1901.64	0.00443784	0	1.2961	0
13	0.659928	0	1.33221	154.871	1902.67	0.00444594	0	1.2961	0
14	0.667384	0	1.33058	155.217	1903.63	0.00445359	0	1.2961	0
15	0.674774	0	1.32904	155.542	1904.54	0.00446078	0	1.2961	0
16	0.689031	0	1.32764	155.84	1905.38	0.00446739	0	1.2961	0
17	0.696397	0	1.32639	156.106	1906.12	0.00447326	0	1.2961	0
18	0.703811	0	1.32536	156.326	1906.73	0.00447814	0	1.2961	0
19	0.711297	0	1.32472	156.462	1907.11	0.00448113	0	1.2961	0
20	0.722229	0	1.34867	151.41	1892.87	0.00436909	0	1.2961	0
21	0.730084	0	1.35509	150.076	1889.04	0.00433936	0	1.2961	0
22	0.737904	0	1.36771	147.476	1881.52	0.00428124	0	1.2961	0
23	0.745642	0	1.37289	146.419	1878.43	0.00425754	0	1.2961	0
24	0.760204	0	1.3895	143.063	1868.5	0.00418205	0	1.2961	0
25	0.767874	0	1.39439	142.085	1865.58	0.00415998	0	1.2961	0
26	0.775524	0	1.40345	140.287	1860.16	0.00411931	0	1.2961	0
27	0.78312	0	1.40849	139.295	1857.14	0.00409681	0	1.2961	0
28	0.79069	0	1.41643	137.74	1852.39	0.00406147	0	1.2961	0
29	0.801291	0	1.42447	136.18	1847.57	0.00402593	0	1.2961	0
30	0.808853	0	1.43187	134.754	1843.13	0.00399337	0	1.2961	0
31	0.816377	0	1.43746	133.684	1839.78	0.00396889	0	1.2961	0
32	0.823877	0	1.4444	132.367	1835.62	0.00393869	0	1.2961	0
33	0.831347	0	1.45012	131.286	1832.19	0.00391384	0	1.2961	0
34	0.84576	0	1.46246	128.98	1824.79	0.00386069	0	1.2961	0
35	0.853228	0	1.46829	127.901	1821.29	0.00383575	0	1.2961	0
36	0.860677	0	1.47472	126.719	1817.43	0.00380838	0	1.2961	0
37	0.868101	0	1.48051	125.661	1813.95	0.00378383	0	1.2961	0
38	0.875506	0	1.48672	124.534	1810.22	0.00375762	0	1.2961	0
39	0.882891	0	1.49252	123.488	1806.74	0.00373324	0	1.2961	0
40	0.893831	0	1.50147	121.89	1801.37	0.00369591	0	1.2961	0
