i	j	x	r	mach	theta	press	temp	massflow
0	0	0	1	1.1318	0	201.069	2019.59	11.4015
0	1	0.000196211	1	1.13207	0.011242	201.003	2019.44	11.4353
0	2	0.000785026	1	1.13287	0.0449787	200.802	2018.98	11.4373
0	3	0.00176728	1	1.13423	0.101258	200.466	2018.21	11.4386
0	4	0.00314456	1	1.13615	0.18017	199.991	2017.11	11.4394
0	5	0.00401722	1.00001	1.13739	0.23017	199.686	2016.41	11.4403
0	6	0.00491929	1.00001	1.13866	0.281856	199.371	2015.68	11.441
0	7	0.00579194	1.00002	1.13991	0.331856	199.063	2014.97	11.4415
0	8	0.00709482	1.00003	1.14178	0.406507	198.602	2013.9	11.4417
0	9	0.00796746	1.00003	1.14305	0.456507	198.289	2013.18	11.4419
0	10	0.00967555	1.00005	1.14554	0.554377	197.677	2011.76	11.4419
0	11	0.0105482	1.00006	1.14684	0.604377	197.359	2011.01	11.4419
0	12	0.0114208	1.00007	1.14813	0.654377	197.041	2010.27	11.4419
0	13	0.0126671	1.00008	1.14998	0.72579	196.587	2009.22	11.4418
0	14	0.0135397	1.00009	1.1513	0.77579	196.264	2008.46	11.4417
0	15	0.0144122	1.0001	1.15262	0.82579	195.94	2007.7	11.4417
0	16	0.0160763	1.00013	1.15514	0.921144	195.326	2006.26	11.4417
0	17	0.0169489	1.00014	1.15649	0.971144	194.996	2005.49	11.4417
0	18	0.0178214	1.00016	1.15783	1.02114	194.668	2004.72	11.4417
0	19	0.0186939	1.00017	1.15918	1.07114	194.34	2003.95	11.4416
0	20	0.0199116	1.0002	1.16106	1.14093	193.883	2002.87	11.4416
0	21	0.0207841	1.00022	1.16244	1.19093	193.548	2002.08	11.4416
0	22	0.0216565	1.00023	1.16381	1.24093	193.214	2001.29	11.4416
0	23	0.022529	1.00025	1.16519	1.29093	192.88	2000.5	11.4416
0	24	0.0241829	1.00029	1.16779	1.38571	192.25	1999	11.4416
0	25	0.0250553	1.00031	1.16919	1.43571	191.909	1998.19	11.4416
0	26	0.0259277	1.00034	1.1706	1.48571	191.57	1997.38	11.4416
0	27	0.0268	1.00036	1.172	1.53571	191.231	1996.58	11.4416
0	28	0.0276724	1.00038	1.1734	1.58571	190.893	1995.77	11.4416
0	29	0.0289018	1.00042	1.17538	1.65618	190.417	1994.63	11.4416
0	30	0.0297741	1.00044	1.17681	1.70618	190.072	1993.81	11.4416
